object_name,caption
backpack,A pink backpack with patches on it.
backpack_dog,A gray backpack with a dog face on it.
barn,an old barn png image
bear_plushie,A brown teddy bear with a blue hat on its head.
berry_bowl,A white bowl with the words Bon Appétit written on it.
can,A can of Transatlantic IPA with a whale on it.
candle,a white candle with a wooden lid on a white background
cat,An orange and white cat sitting on a black background.
cat2,A fluffy orange cat sitting on a white surface.
cat_statue,A colorful cat figurine sitting on top of a black background.
chair,A blue chair with wooden legs and a blue upholstered seat.
clock,A copper alarm clock with a crown on the face.
colorful_sneaker,adidas sneakers court vantage w - large
colorful_teapot,A colorful teapot with a flower design on it.
dog,A close up of a dog with its tongue out.
dog2,A brown dog with long hair and a big smile on its face.
dog3,A small white dog standing on a black background.
dog4,A brown dog with long hair laying down on a black background.
dog5,A brown and white dog with its tongue sticking out.
dog6,A brown dog with a black collar is looking at the camera.
dog7,A white and black dog with a black and white face.
dog8,a weimar dog sitting on its hind legs
duck_toy,A yellow rubber duck with an orange beak.
elephant,A carved elephant figurine on a black background.
fancy_boot,a pair of white boots with fringes
grey_sloth_plushie,A stuffed sloth is sitting in the grass.
monster_toy,A red stuffed toy with a yellow ball in its mouth.
poop_emoji,A close up of a poop emoji with big eyes.
rc_car,A toy car with a man in a helmet driving a red and yellow car.
red_cartoon,A red monster with a sad expression on its face.
robot_toy,A white and blue robot sitting on top of a black background.
round_bird,A bird with a brown beak sitting on top of a rock.
shiny_sneaker,a pair of holographic sneakers with white soles
table,a round coffee table with a wooden top and metal frame
teapot,A purple teapot on a black background.
teddybear,A brown teddy bear sitting on a white background.
thin_bird,A large whale's tooth with a long beak.
tortoise_plushy,A green turtle stuffed animal with big eyes.
wolf_plushie,A gray and white husky dog with a red collar laying down.
wooden_pot,A wooden vase with a carved design on it.
