object_index,object_name,sam3_short,sam3_dense,sam3_instruction,sam3_negative,florence_short,florence_detailed,florence_tag,llava_short,llava_detailed,llava_dense,qwen_short,qwen_detailed,qwen_dense,clip_short,clip_dense,open_vocab_1,open_vocab_2,coco,densecap,vg_region,nocaps,retrieval,vqa,minimal,minimal_attr,synthetic_structured,object_only,shape_material,color_focus,category_only,segmentation_hard,segmentation_soft
0,backpack,pink and black backpack,a backpack in pink and black color with shoulder straps and multiple compartments.,Segment only the pink backpack in the scene.,Ignore all other objects and background; segment only the pink backpack.,A backpack in pink and black color.,A backpack in pink and black color showing shoulder straps and multiple compartments as a distinct pink and black bag.,"pink backpack, bag",a backpack in pink and black color as the main bag.,"A backpack in pink and black color with clear shoulder straps and multiple compartments, standing out from the background.","A backpack in pink and black color, detailed bag object with shoulder straps and multiple compartments.",a backpack in pink and black color.,A backpack in pink and black color that can be recognized as a bag with shoulder straps and multiple compartments.,"A backpack in pink and black color acting as the primary bag in the image, characterized by shoulder straps and multiple compartments.",pink and black backpack,shoulder straps and multiple compartments bag pink backpack,A distinctive bag: pink backpack.,"Unique bag instance, namely a backpack in pink and black color.",A backpack in pink and black color is visible in the scene.,A backpack in pink and black color with shoulder straps and multiple compartments is located prominently.,A backpack in pink and black color serving as a bag region.,A backpack in pink and black color appears as the key bag.,"pink and black backpack, a bag with shoulder straps and multiple compartments.",The object is a backpack in pink and black color.,pink backpack,bag pink backpack,object=backpack; type=bag; color=pink and black; detail=shoulder straps and multiple compartments,a backpack in pink and black color.,A backpack in pink and black color with shape and structure described as: shoulder straps and multiple compartments.,A backpack in pink and black color whose appearance is dominated by pink and black tones.,pink and black bag,Strictly select the pink backpack mask and exclude every other object and background pixel.,Focus the segmentation on the pink backpack region as the main bag.
1,backpack_dog,gray and brown dog wearing a backpack,a dog wearing a backpack in gray and brown color with a backpack strapped onto the dog's back.,Segment only the gray dog wearing a backpack in the scene.,Ignore all other objects and background; segment only the gray dog wearing a backpack.,A dog wearing a backpack in gray and brown color.,A dog wearing a backpack in gray and brown color showing a backpack strapped onto the dog's back as a distinct gray and brown animal with gear.,"gray dog wearing a backpack, animal with gear",a dog wearing a backpack in gray and brown color as the main animal with gear.,"A dog wearing a backpack in gray and brown color with clear a backpack strapped onto the dog's back, standing out from the background.","A dog wearing a backpack in gray and brown color, detailed animal with gear object with a backpack strapped onto the dog's back.",a dog wearing a backpack in gray and brown color.,A dog wearing a backpack in gray and brown color that can be recognized as a animal with gear with a backpack strapped onto the dog's back.,"A dog wearing a backpack in gray and brown color acting as the primary animal with gear in the image, characterized by a backpack strapped onto the dog's back.",gray and brown dog wearing a backpack,a backpack strapped onto the dog's back animal with gear gray dog wearing a backpack,A distinctive animal with gear: gray dog wearing a backpack.,"Unique animal with gear instance, namely a dog wearing a backpack in gray and brown color.",A dog wearing a backpack in gray and brown color is visible in the scene.,A dog wearing a backpack in gray and brown color with a backpack strapped onto the dog's back is located prominently.,A dog wearing a backpack in gray and brown color serving as a animal with gear region.,A dog wearing a backpack in gray and brown color appears as the key animal with gear.,"gray and brown dog wearing a backpack, a animal with gear with a backpack strapped onto the dog's back.",The object is a dog wearing a backpack in gray and brown color.,gray dog wearing a backpack,animal with gear gray dog wearing a backpack,object=dog wearing a backpack; type=animal with gear; color=gray and brown; detail=a backpack strapped onto the dog's back,a dog wearing a backpack in gray and brown color.,A dog wearing a backpack in gray and brown color with shape and structure described as: a backpack strapped onto the dog's back.,A dog wearing a backpack in gray and brown color whose appearance is dominated by gray and brown tones.,gray and brown animal with gear,Strictly select the gray dog wearing a backpack mask and exclude every other object and background pixel.,Focus the segmentation on the gray dog wearing a backpack region as the main animal with gear.
2,barn,brown and black barn building,a barn building in brown and black color with rectangular walls and a pitched roof.,Segment only the brown barn building in the scene.,Ignore all other objects and background; segment only the brown barn building.,A barn building in brown and black color.,A barn building in brown and black color showing rectangular walls and a pitched roof as a distinct brown and black building.,"brown barn building, building",a barn building in brown and black color as the main building.,"A barn building in brown and black color with clear rectangular walls and a pitched roof, standing out from the background.","A barn building in brown and black color, detailed building object with rectangular walls and a pitched roof.",a barn building in brown and black color.,A barn building in brown and black color that can be recognized as a building with rectangular walls and a pitched roof.,"A barn building in brown and black color acting as the primary building in the image, characterized by rectangular walls and a pitched roof.",brown and black barn building,rectangular walls and a pitched roof building brown barn building,A distinctive building: brown barn building.,"Unique building instance, namely a barn building in brown and black color.",A barn building in brown and black color is visible in the scene.,A barn building in brown and black color with rectangular walls and a pitched roof is located prominently.,A barn building in brown and black color serving as a building region.,A barn building in brown and black color appears as the key building.,"brown and black barn building, a building with rectangular walls and a pitched roof.",The object is a barn building in brown and black color.,brown barn building,building brown barn building,object=barn building; type=building; color=brown and black; detail=rectangular walls and a pitched roof,a barn building in brown and black color.,A barn building in brown and black color with shape and structure described as: rectangular walls and a pitched roof.,A barn building in brown and black color whose appearance is dominated by brown and black tones.,brown and black building,Strictly select the brown barn building mask and exclude every other object and background pixel.,Focus the segmentation on the brown barn building region as the main building.
3,bear_plushie,brown and red bear plush toy,"a bear plush toy in brown and red color with soft fabric body, round ears and stitched facial features.",Segment only the brown bear plush toy in the scene.,Ignore all other objects and background; segment only the brown bear plush toy.,A bear plush toy in brown and red color.,"A bear plush toy in brown and red color showing soft fabric body, round ears and stitched facial features as a distinct brown and red plush toy.","brown bear plush toy, plush toy",a bear plush toy in brown and red color as the main plush toy.,"A bear plush toy in brown and red color with clear soft fabric body, round ears and stitched facial features, standing out from the background.","A bear plush toy in brown and red color, detailed plush toy object with soft fabric body, round ears and stitched facial features.",a bear plush toy in brown and red color.,"A bear plush toy in brown and red color that can be recognized as a plush toy with soft fabric body, round ears and stitched facial features.","A bear plush toy in brown and red color acting as the primary plush toy in the image, characterized by soft fabric body, round ears and stitched facial features.",brown and red bear plush toy,"soft fabric body, round ears and stitched facial features plush toy brown bear plush toy",A distinctive plush toy: brown bear plush toy.,"Unique plush toy instance, namely a bear plush toy in brown and red color.",A bear plush toy in brown and red color is visible in the scene.,"A bear plush toy in brown and red color with soft fabric body, round ears and stitched facial features is located prominently.",A bear plush toy in brown and red color serving as a plush toy region.,A bear plush toy in brown and red color appears as the key plush toy.,"brown and red bear plush toy, a plush toy with soft fabric body, round ears and stitched facial features.",The object is a bear plush toy in brown and red color.,brown bear plush toy,plush toy brown bear plush toy,"object=bear plush toy; type=plush toy; color=brown and red; detail=soft fabric body, round ears and stitched facial features",a bear plush toy in brown and red color.,"A bear plush toy in brown and red color with shape and structure described as: soft fabric body, round ears and stitched facial features.",A bear plush toy in brown and red color whose appearance is dominated by brown and red tones.,brown and red plush toy,Strictly select the brown bear plush toy mask and exclude every other object and background pixel.,Focus the segmentation on the brown bear plush toy region as the main plush toy.
4,berry_bowl,white bowl of berries,a bowl of berries in white color with a small bowl filled with clustered berries.,Segment only the white bowl of berries in the scene.,Ignore all other objects and background; segment only the white bowl of berries.,A bowl of berries in white color.,A bowl of berries in white color showing a small bowl filled with clustered berries as a distinct white food container.,"white bowl of berries, food container",a bowl of berries in white color as the main food container.,"A bowl of berries in white color with clear a small bowl filled with clustered berries, standing out from the background.","A bowl of berries in white color, detailed food container object with a small bowl filled with clustered berries.",a bowl of berries in white color.,A bowl of berries in white color that can be recognized as a food container with a small bowl filled with clustered berries.,"A bowl of berries in white color acting as the primary food container in the image, characterized by a small bowl filled with clustered berries.",white bowl of berries,a small bowl filled with clustered berries food container white bowl of berries,A distinctive food container: white bowl of berries.,"Unique food container instance, namely a bowl of berries in white color.",A bowl of berries in white color is visible in the scene.,A bowl of berries in white color with a small bowl filled with clustered berries is located prominently.,A bowl of berries in white color serving as a food container region.,A bowl of berries in white color appears as the key food container.,"white bowl of berries, a food container with a small bowl filled with clustered berries.",The object is a bowl of berries in white color.,white bowl of berries,food container white bowl of berries,object=bowl of berries; type=food container; color=white; detail=a small bowl filled with clustered berries,a bowl of berries in white color.,A bowl of berries in white color with shape and structure described as: a small bowl filled with clustered berries.,A bowl of berries in white color whose appearance is dominated by white tones.,white food container,Strictly select the white bowl of berries mask and exclude every other object and background pixel.,Focus the segmentation on the white bowl of berries region as the main food container.
5,can,blue and cyan drink can,a drink can in blue and cyan color with cylindrical metal body with a top rim.,Segment only the blue drink can in the scene.,Ignore all other objects and background; segment only the blue drink can.,A drink can in blue and cyan color.,A drink can in blue and cyan color showing cylindrical metal body with a top rim as a distinct blue and cyan container.,"blue drink can, container",a drink can in blue and cyan color as the main container.,"A drink can in blue and cyan color with clear cylindrical metal body with a top rim, standing out from the background.","A drink can in blue and cyan color, detailed container object with cylindrical metal body with a top rim.",a drink can in blue and cyan color.,A drink can in blue and cyan color that can be recognized as a container with cylindrical metal body with a top rim.,"A drink can in blue and cyan color acting as the primary container in the image, characterized by cylindrical metal body with a top rim.",blue and cyan drink can,cylindrical metal body with a top rim container blue drink can,A distinctive container: blue drink can.,"Unique container instance, namely a drink can in blue and cyan color.",A drink can in blue and cyan color is visible in the scene.,A drink can in blue and cyan color with cylindrical metal body with a top rim is located prominently.,A drink can in blue and cyan color serving as a container region.,A drink can in blue and cyan color appears as the key container.,"blue and cyan drink can, a container with cylindrical metal body with a top rim.",The object is a drink can in blue and cyan color.,blue drink can,container blue drink can,object=drink can; type=container; color=blue and cyan; detail=cylindrical metal body with a top rim,a drink can in blue and cyan color.,A drink can in blue and cyan color with shape and structure described as: cylindrical metal body with a top rim.,A drink can in blue and cyan color whose appearance is dominated by blue and cyan tones.,blue and cyan container,Strictly select the blue drink can mask and exclude every other object and background pixel.,Focus the segmentation on the blue drink can region as the main container.
6,candle,orange and brown candle,a candle in orange and brown color with a vertical wax body with a wick at the top.,Segment only the orange candle in the scene.,Ignore all other objects and background; segment only the orange candle.,A candle in orange and brown color.,A candle in orange and brown color showing a vertical wax body with a wick at the top as a distinct orange and brown household object.,"orange candle, household object",a candle in orange and brown color as the main household object.,"A candle in orange and brown color with clear a vertical wax body with a wick at the top, standing out from the background.","A candle in orange and brown color, detailed household object object with a vertical wax body with a wick at the top.",a candle in orange and brown color.,A candle in orange and brown color that can be recognized as a household object with a vertical wax body with a wick at the top.,"A candle in orange and brown color acting as the primary household object in the image, characterized by a vertical wax body with a wick at the top.",orange and brown candle,a vertical wax body with a wick at the top household object orange candle,A distinctive household object: orange candle.,"Unique household object instance, namely a candle in orange and brown color.",A candle in orange and brown color is visible in the scene.,A candle in orange and brown color with a vertical wax body with a wick at the top is located prominently.,A candle in orange and brown color serving as a household object region.,A candle in orange and brown color appears as the key household object.,"orange and brown candle, a household object with a vertical wax body with a wick at the top.",The object is a candle in orange and brown color.,orange candle,household object orange candle,object=candle; type=household object; color=orange and brown; detail=a vertical wax body with a wick at the top,a candle in orange and brown color.,A candle in orange and brown color with shape and structure described as: a vertical wax body with a wick at the top.,A candle in orange and brown color whose appearance is dominated by orange and brown tones.,orange and brown household object,Strictly select the orange candle mask and exclude every other object and background pixel.,Focus the segmentation on the orange candle region as the main household object.
7,cat,brown and black cat,"a cat in brown and black color with fur, pointed ears and a visible face.",Segment only the brown cat in the scene.,Ignore all other objects and background; segment only the brown cat.,A cat in brown and black color.,"A cat in brown and black color showing fur, pointed ears and a visible face as a distinct brown and black animal.","brown cat, animal",a cat in brown and black color as the main animal.,"A cat in brown and black color with clear fur, pointed ears and a visible face, standing out from the background.","A cat in brown and black color, detailed animal object with fur, pointed ears and a visible face.",a cat in brown and black color.,"A cat in brown and black color that can be recognized as a animal with fur, pointed ears and a visible face.","A cat in brown and black color acting as the primary animal in the image, characterized by fur, pointed ears and a visible face.",brown and black cat,"fur, pointed ears and a visible face animal brown cat",A distinctive animal: brown cat.,"Unique animal instance, namely a cat in brown and black color.",A cat in brown and black color is visible in the scene.,"A cat in brown and black color with fur, pointed ears and a visible face is located prominently.",A cat in brown and black color serving as a animal region.,A cat in brown and black color appears as the key animal.,"brown and black cat, a animal with fur, pointed ears and a visible face.",The object is a cat in brown and black color.,brown cat,animal brown cat,"object=cat; type=animal; color=brown and black; detail=fur, pointed ears and a visible face",a cat in brown and black color.,"A cat in brown and black color with shape and structure described as: fur, pointed ears and a visible face.",A cat in brown and black color whose appearance is dominated by brown and black tones.,brown and black animal,Strictly select the brown cat mask and exclude every other object and background pixel.,Focus the segmentation on the brown cat region as the main animal.
8,cat2,brown and gray cat,"a cat in brown and gray color with fur, pointed ears and a visible face.",Segment only the brown cat in the scene.,Ignore all other objects and background; segment only the brown cat.,A cat in brown and gray color.,"A cat in brown and gray color showing fur, pointed ears and a visible face as a distinct brown and gray animal.","brown cat, animal",a cat in brown and gray color as the main animal.,"A cat in brown and gray color with clear fur, pointed ears and a visible face, standing out from the background.","A cat in brown and gray color, detailed animal object with fur, pointed ears and a visible face.",a cat in brown and gray color.,"A cat in brown and gray color that can be recognized as a animal with fur, pointed ears and a visible face.","A cat in brown and gray color acting as the primary animal in the image, characterized by fur, pointed ears and a visible face.",brown and gray cat,"fur, pointed ears and a visible face animal brown cat",A distinctive animal: brown cat.,"Unique animal instance, namely a cat in brown and gray color.",A cat in brown and gray color is visible in the scene.,"A cat in brown and gray color with fur, pointed ears and a visible face is located prominently.",A cat in brown and gray color serving as a animal region.,A cat in brown and gray color appears as the key animal.,"brown and gray cat, a animal with fur, pointed ears and a visible face.",The object is a cat in brown and gray color.,brown cat,animal brown cat,"object=cat; type=animal; color=brown and gray; detail=fur, pointed ears and a visible face",a cat in brown and gray color.,"A cat in brown and gray color with shape and structure described as: fur, pointed ears and a visible face.",A cat in brown and gray color whose appearance is dominated by brown and gray tones.,brown and gray animal,Strictly select the brown cat mask and exclude every other object and background pixel.,Focus the segmentation on the brown cat region as the main animal.
9,cat_statue,blue and red cat statue,a cat statue in blue and red color with solid sculpted body shaped like a seated cat.,Segment only the blue cat statue in the scene.,Ignore all other objects and background; segment only the blue cat statue.,A cat statue in blue and red color.,A cat statue in blue and red color showing solid sculpted body shaped like a seated cat as a distinct blue and red decorative object.,"blue cat statue, decorative object",a cat statue in blue and red color as the main decorative object.,"A cat statue in blue and red color with clear solid sculpted body shaped like a seated cat, standing out from the background.","A cat statue in blue and red color, detailed decorative object object with solid sculpted body shaped like a seated cat.",a cat statue in blue and red color.,A cat statue in blue and red color that can be recognized as a decorative object with solid sculpted body shaped like a seated cat.,"A cat statue in blue and red color acting as the primary decorative object in the image, characterized by solid sculpted body shaped like a seated cat.",blue and red cat statue,solid sculpted body shaped like a seated cat decorative object blue cat statue,A distinctive decorative object: blue cat statue.,"Unique decorative object instance, namely a cat statue in blue and red color.",A cat statue in blue and red color is visible in the scene.,A cat statue in blue and red color with solid sculpted body shaped like a seated cat is located prominently.,A cat statue in blue and red color serving as a decorative object region.,A cat statue in blue and red color appears as the key decorative object.,"blue and red cat statue, a decorative object with solid sculpted body shaped like a seated cat.",The object is a cat statue in blue and red color.,blue cat statue,decorative object blue cat statue,object=cat statue; type=decorative object; color=blue and red; detail=solid sculpted body shaped like a seated cat,a cat statue in blue and red color.,A cat statue in blue and red color with shape and structure described as: solid sculpted body shaped like a seated cat.,A cat statue in blue and red color whose appearance is dominated by blue and red tones.,blue and red decorative object,Strictly select the blue cat statue mask and exclude every other object and background pixel.,Focus the segmentation on the blue cat statue region as the main decorative object.
